name,price,description,stock
"Shrimp - Baby, Cold Water","€90,08",zero administration,1
"Wine - White, Lindemans Bin 95","€22,68",paradigm,1
Crackers - Water,"€96,62",Upgradable,20
Soup Campbells Turkey Veg.,"€81,65",application,11
Oven Mitt - 13 Inch,"€53,58",encoding,44
"7up Diet, 355 Ml","€79,66",Focused,19
Container - Hngd Cll Blk 7x7x3,"€57,38",tangible,22
Syrup - Chocolate,"€27,36",context-sensitive,21
Rabbit - Saddles,"€79,83",standardization,81
Salt And Pepper Mix - Black,"€63,94",optimal,6
"Capon - Breast, Double, Wing On","€23,48",attitude-oriented,43
Bread Bowl Plain,"€24,65",synergy,45
Basil - Fresh,"€12,57",standardization,53
Beans - Wax,"€94,28",tertiary,3
"Beans - Fava, Canned","€68,27",complexity,40
Wine - Malbec Trapiche Reserve,"€78,50",Streamlined,87
Toamtoes 6x7 Select,"€30,47",Reverse-engineered,75
Pickle - Dill,"€44,26",Vision-oriented,54
Oil - Grapeseed Oil,"€62,40",system engine,47
"Doilies - 10, Paper","€54,11",Programmable,74
Pur Value,"€11,35",next generation,95
Cinnamon - Stick,"€24,51",exuding,62
Appetizer - Mango Chevre,"€58,39",Managed,24
"Trout - Rainbow, Fresh","€84,25",interactive,57
Truffle Paste,"€29,68",Multi-tiered,48
Sambuca - Ramazzotti,"€13,77",knowledge user,68
Bouillion - Fish,"€49,89",User-friendly,27
"Bread - Rolls, Corn","€36,28",utilisation,22
Wine - Pinot Noir Latour,"€38,26",Cross-group,47
Muffin Hinge 117n,"€66,49",parallelism,47
"Beans - Black Bean, Canned","€19,56",homogeneous,26
Wine - Crozes Hermitage E.,"€58,36",system-worthy,31
Wine - Taylors Reserve,"€18,39",groupware,94
"Halibut - Whole, Fresh","€12,47",toolset,33
External Supplier,"€45,15",clear-thinking,66
"Pepper - Black, Whole","€98,08",Graphic Interface,90
Sprouts - Corn,"€96,66",paradigm,25
Ice Cream - Strawberry,"€70,36",demand-driven,81
Muffins - Assorted,"€65,84",groupware,3
Pears - Bartlett,"€86,30",hybrid,97
Pork - Bones,"€34,43",Team-oriented,77
Wiberg Cure,"€56,62",Centralized,33
Alize Gold Passion,"€5,00",coherent,56
Oil - Macadamia,"€22,14",Monitored,20
"Sparkling Wine - Rose, Freixenet","€16,76",client-server,19
Wine - Prosecco Valdobienne,"€24,83",User-centric,39
Beer - Creemore,"€56,53",Expanded,91
Snapple - Iced Tea Peach,"€92,21",Organic,44
Cheese - Cheddar With Claret,"€68,90",Assimilated,52
Asparagus - Mexican,"€75,76",directional,29
"Glass - Wine, Plastic, Clear 5 Oz","€22,06",cohesive,62
Coffee Beans - Chocolate,"€45,55",circuit,6
Wine - Shiraz Wolf Blass Premium,"€66,50",reciprocal,7
"Cheese - Manchego, Spanish","€10,80",Networked,73
Cheese - Valancey,"€64,31",User-centric,4
"Liqueur Banana, Ramazzotti","€66,69",local area network,79
Pails With Lids,"€24,03",budgetary management,7
Milk - Skim,"€36,16",secondary,45
Tea - Jasmin Green,"€81,47",Devolved,94
Oil - Hazelnut,"€31,38",optimizing,91
Vol Au Vents,"€17,90",internet solution,74
Scallops - U - 10,"€20,58",adapter,77
Soho Lychee Liqueur,"€50,00",Visionary,93
Cheese - Taleggio D.o.p.,"€47,01",uniform,80
Gingerale - Diet - Schweppes,"€95,35",Fully-configurable,97
"Mushroom - Enoki, Dry","€20,85",forecast,47
Pasta - Cheese / Spinach Bauletti,"€55,83",regional,45
"Tortillas - Flour, 12","€83,76",zero administration,88
Cake - Miini Cheesecake Cherry,"€93,96",content-based,95
"Onions - Dried, Chopped","€35,16",concept,98
Soup - Boston Clam Chowder,"€63,00",intangible,26
Cheese - Cottage Cheese,"€54,54",Total,64
"Pasta - Fusili, Dry","€46,98",orchestration,48
Flour - Masa De Harina Mexican,"€62,77",hierarchy,43
Rum - Mount Gay Eclipes,"€98,86",Exclusive,56
Plate Pie Foil,"€20,42",Decentralized,73
Whmis - Spray Bottle Trigger,"€20,68",regional,35
"Lettuce - Romaine, Heart","€68,86",approach,12
Steampan - Lid For Half Size,"€30,59",non-volatile,65
Calvados - Boulard,"€59,82",adapter,68
Onions - Green,"€4,59",Multi-lateral,93
Vegetable - Base,"€22,30",framework,23
Foil Wrap,"€7,26",Balanced,68
"Mushroom - Morels, Dry","€20,37",customer loyalty,37
"Soup - Cream Of Broccoli, Dry","€74,16",knowledge base,64
Honey - Lavender,"€96,79",help-desk,55
Beer - Mill St Organic,"€39,64",Adaptive,37
Wine - Balbach Riverside,"€19,45",Synergistic,39
"Pork - Loin, Bone - In","€64,35",Persevering,60
Kale - Red,"€6,93",non-volatile,15
Molasses - Fancy,"€86,44",structure,68
Bread - Bistro Sour,"€34,44",projection,92
Cup - Translucent 7 Oz Clear,"€62,47",secured line,88
Pastry - Cherry Danish - Mini,"€83,47",User-friendly,64
Wine - Muscadet Sur Lie,"€75,45",asymmetric,54
Eggplant - Baby,"€60,75",Total,76
Wine - Pinot Noir Mondavi Coastal,"€73,98",Grass-roots,79
Sprouts - China Rose,"€28,21",Customizable,51
Pastry - Cheese Baked Scones,"€7,86",logistical,51
Lamb Leg - Bone - In Nz,"€9,71",uniform,33
Wine - Riesling Alsace Ac 2001,"€20,38",executive,96
Juice - Lagoon Mango,"€50,93",Fully-configurable,41
"Fish - Base, Bouillion","€24,25",multi-state,10
Calypso - Black Cherry Lemonade,"€81,44",object-oriented,26
Flour Dark Rye,"€9,10",Cross-group,95
Bread - Onion Focaccia,"€91,24",tertiary,74
V8 - Berry Blend,"€27,39",structure,18
Walkers Special Old Whiskey,"€14,97",interface,20
Mountain Dew,"€31,36",intranet,29
Rice Wine - Aji Mirin,"€57,47",regional,38
Bread - Rye,"€43,67",core,94
Sprouts Dikon,"€40,35",Profound,97
Cheese - Swiss Sliced,"€6,48",stable,4
Peach - Fresh,"€90,18",open architecture,100
Venison - Striploin,"€35,26",time-frame,33
Cognac - Courvaisier,"€85,98",regional,37
Bacardi Raspberry,"€82,90",Ameliorated,28
"Turkey - Breast, Double","€40,11",Face to face,3
Sea Urchin,"€35,31",middleware,5
Chocolate - Milk Coating,"€70,98",Automated,49
Plaintain,"€76,14",Implemented,54
"Pork - Bacon,back Peameal","€84,52",Ameliorated,86
Jameson Irish Whiskey,"€92,68",directional,30
Sugar - Crumb,"€80,41",Up-sized,10
"Lamb - Racks, Frenched","€36,25",tangible,77
Beef - Cow Feet Split,"€82,42",Reactive,16
"Roe - Lump Fish, Black","€95,20",firmware,63
Muffin Orange Individual,"€59,90",Multi-channelled,30
Oil - Cooking Spray,"€22,13",zero administration,35
"Apple - Delicious, Red","€35,22",asynchronous,13
Flower - Daisies,"€13,10",foreground,81
Baking Powder,"€33,27",interface,11
Apple - Custard,"€7,82",projection,24
Barramundi,"€54,90",neutral,4
"Chicken - Leg, Fresh","€88,99",Expanded,54
Shortbread - Cookie Crumbs,"€92,65",Innovative,14
Pork Salted Bellies,"€92,18",Open-source,22
Cheese - Provolone,"€45,01",Multi-layered,98
Plasticknivesblack,"€71,04",paradigm,26
Sword Pick Asst,"€7,13",motivating,13
"Sauce - White, Mix","€64,63",matrices,13
Salt - Table,"€35,66",encryption,35
Peppercorns - Green,"€52,42",logistical,10
Vaccum Bag 10x13,"€7,52",Graphical User Interface,66
Pate - Peppercorn,"€24,88",Enterprise-wide,6
Nescafe - Frothy French Vanilla,"€69,99",solution,14
Appetizer - Chicken Satay,"€54,58",full-range,79
Beer - Upper Canada Lager,"€18,94",Triple-buffered,3
"Wine - Harrow Estates, Vidal","€95,86",encompassing,65
"Chocolate - Milk, Callets","€32,83",adapter,97
Soup - Campbells Chicken,"€52,21",Polarised,99
Cookies - Fortune,"€9,28",neutral,76
Bandage - Finger Cots,"€38,31",homogeneous,1
Wine - Vidal Icewine Magnotta,"€74,96",multi-tasking,29
Beer - Sleemans Cream Ale,"€18,88",Grass-roots,18
Onions - Cippolini,"€17,16",Quality-focused,21
Cornstarch,"€91,45",zero tolerance,34
Wine - Magnotta - Cab Sauv,"€71,83",database,44
"Capon - Breast, Double, Wing On","€47,93",throughput,31
Horseradish - Prepared,"€50,22",Total,11
"Veal - Inside, Choice","€19,60",help-desk,36
Island Oasis - Sweet And Sour Mix,"€0,89",Reverse-engineered,4
Napkin White,"€33,22",stable,46
"Chicken - Leg, Fresh","€93,05",software,16
Flour - So Mix Cake White,"€53,32",algorithm,68
Wine - Tribal Sauvignon,"€18,26",Object-based,67
Beef - Tenderloin Tails,"€26,64",hierarchy,12
Baking Soda,"€75,74",middleware,36
"Soup - Campbells, Creamy","€19,43",definition,53
Table Cloth 120 Round White,"€84,66",Re-contextualized,47
Longos - Chicken Caeser Salad,"€61,40",Self-enabling,36
Wine - Rosso Del Veronese Igt,"€51,27",Virtual,26
Brandy Cherry - Mcguinness,"€48,37",Decentralized,94
Sugar - Cubes,"€62,58",Future-proofed,21
Bagel - 12 Grain Preslice,"€39,31",architecture,20
Squeeze Bottle,"€43,16",complexity,63
Foil - Round Foil,"€19,96",Face to face,84
Pastry - French Mini Assorted,"€18,23",Grass-roots,15
"Yogurt - Peach, 175 Gr","€35,07",impactful,97
Juice - Apple 284ml,"€91,12",array,61
Icecream - Dstk Strw Chseck,"€6,78",Managed,26
"Cheese - Havarti, Salsa","€20,77",intermediate,97
Grenadine,"€85,74",Function-based,60
Bread - Burger,"€56,07",extranet,24
"Red Snapper - Fresh, Whole","€93,90",focus group,77
Carroway Seed,"€84,13",static,53
Flavouring Vanilla Artificial,"€18,64",Function-based,12
Appetizer - Asian Shrimp Roll,"€8,70",upward-trending,79
Sobe - Lizard Fuel,"€50,12",Total,15
"Pepper - Chipotle, Canned","€14,84",intangible,2
"Orange - Canned, Mandarin","€74,57",exuding,15
Fond - Chocolate,"€37,55",core,62
Truffle - Peelings,"€15,66",user-facing,71
Coffee - Espresso,"€97,60",installation,13
Cups 10oz Trans,"€84,45",parallelism,90
Pickerel - Fillets,"€18,17",eco-centric,6
Bread - Wheat Baguette,"€56,85",methodology,81
Icecream - Dibs,"€6,61",Seamless,50
Veal - Insides Provini,"€22,52",tertiary,21
Mushroom - Porcini Frozen,"€42,78",Innovative,47
Beef - Inside Round,"€9,64",Universal,48
Melon - Cantaloupe,"€85,53",3rd generation,84
Flour - So Mix Cake White,"€22,51",Networked,69
Cilantro / Coriander - Fresh,"€23,65",executive,48
Veal - Slab Bacon,"€81,85",Graphical User Interface,94
Sprouts - Peppercress,"€76,53",Pre-emptive,69
Calypso - Strawberry Lemonade,"€29,39",User-centric,47
"Nut - Pecan, Halves","€0,06",Polarised,53
Soup - Campbells,"€48,31",installation,14
"Shrimp - Baby, Cold Water","€64,06",Adaptive,31
"Oil - Truffle, Black","€2,92",knowledge base,62
"Crab - Blue, Frozen","€65,62",Mandatory,60
Sobe - Liz Blizz,"€6,46",incremental,83
Oranges,"€79,00",Business-focused,14
"Lentils - Green, Dry","€45,79",Stand-alone,98
Pie Filling - Apple,"€68,94",Centralized,89
"Pork - Ham, Virginia","€62,15",architecture,36
"Flour - Buckwheat, Dark","€35,44",Centralized,9
"Rosemary - Primerba, Paste","€89,48",interface,46
"Lid - Translucent, 3.5 And 6 Oz","€65,98",Progressive,78
Cups 10oz Trans,"€7,39",Switchable,92
Cheese - Brick With Pepper,"€4,05",impactful,87
Beer - True North Lager,"€43,64",Streamlined,42
Almonds Ground Blanched,"€96,83",protocol,20
Mustard - Seed,"€94,18",Operative,51
Ham - Black Forest,"€96,00",Persistent,58
Sproutsmustard Cress,"€13,25",Switchable,28
Cookies - Englishbay Oatmeal,"€78,78",Versatile,67
Apple - Granny Smith,"€15,78",human-resource,44
Wine - Chateauneuf Du Pape,"€58,04",Right-sized,87
Soup - Tomato Mush. Florentine,"€13,60",24/7,49
Molasses - Fancy,"€78,88",knowledge base,61
Pepper - Scotch Bonnet,"€58,91",Right-sized,15
"Beans - Kidney, Canned","€1,67",Mandatory,2
Lamb - Shanks,"€94,75",pricing structure,57
Gherkin - Sour,"€54,88",Fundamental,94
Otomegusa Dashi Konbu,"€99,97",client-driven,12
Veal - Leg,"€18,70",responsive,22
Shrimp - Black Tiger 16/20,"€2,84",optimizing,46
Cheese - Grie Des Champ,"€46,16",holistic,36
Beef - Short Ribs,"€72,70",Horizontal,98
Wine - Conde De Valdemar,"€99,38",optimizing,100
Longos - Lasagna Veg,"€80,24",Function-based,46
Wine - Chateau Timberlay,"€89,41",national,52
Ecolab Silver Fusion,"€16,16",toolset,96
Wine - Ej Gallo Sierra Valley,"€92,21",Down-sized,60
Truffle Paste,"€64,25",open architecture,22
"Potatoes - Instant, Mashed","€83,06",concept,46
Curry Paste - Green Masala,"€22,31",Self-enabling,13
Cactus Pads,"€58,21",hardware,16
Wine - Cotes Du Rhone Parallele,"€60,31",user-facing,1
Bread Base - Toscano,"€95,65",moderator,36
Vinegar - Champagne,"€87,62",Programmable,66
Cocoa Powder - Natural,"€74,07",static,28
Wine - Magnotta - Bel Paese White,"€35,43",throughput,65
Shrimp - Black Tiger 6 - 8,"€46,67",knowledge base,65
Cheese - Roquefort Pappillon,"€98,25",budgetary management,62
Pepper - Green Thai,"€22,70",Streamlined,74
Clam - Cherrystone,"€30,11",workforce,43
"Doilies - 12, Paper","€78,89",analyzing,30
"Pasta - Gnocchi, Potato","€77,67",secured line,69
"Vermouth - White, Cinzano","€97,24",Cloned,34
Fib N9 - Prague Powder,"€75,49",benchmark,79
Vector Energy Bar,"€50,50",Sharable,100
The Pop Shoppe - Lime Rickey,"€36,87",Phased,61
Wine - Montecillo Rioja Crianza,"€75,94",conglomeration,91
Salmon Atl.whole 8 - 10 Lb,"€52,11",knowledge base,76
Milk - Buttermilk,"€25,70",structure,32
Turkey - Oven Roast Breast,"€56,57",Devolved,65
Sandwich Wrap,"€30,55",budgetary management,93
Shopper Bag - S - 4,"€50,03",cohesive,45
Container - Hngd Cll Blk 7x7x3,"€27,05",Visionary,21
Cream - 35%,"€73,91",Graphical User Interface,76
Beef - Kobe Striploin,"€79,65",Devolved,45
Soap - Pine Sol Floor Cleaner,"€35,00",middleware,30
Mushroom - King Eryingii,"€6,94",circuit,29
"Wine - Red, Black Opal Shiraz","€44,98",multi-tasking,35
"Chestnuts - Whole,canned","€36,88",monitoring,84
Cranberries - Dry,"€68,08",Diverse,59
Ham - Proscuitto,"€96,61",Intuitive,15
"Wine - White, French Cross","€67,18",impactful,1
"Squash - Pattypan, Yellow","€0,12",concept,59
"Asparagus - Green, Fresh","€50,82",asynchronous,65
