name,price,description,stock
Bread Base - Gold Formel,77.2,hierarchy,24
Coconut Milk - Unsweetened,72.2,collaboration,20
Oranges,42.0,Synchronised,24
"Salt - Rock, Course",35.5,clear-thinking,8
Five Alive Citrus,46.8,homogeneous,36
Chocolate - White,72.5,parallelism,37
English Muffin,63.9,5th generation,25
Sprouts - Alfalfa,93.3,eco-centric,49
Coffee - 10oz Cup 92961,83.5,Inverse,29
Cake Slab,18.9,Right-sized,46
Cleaner - Pine Sol,52.3,transitional,1
Pork - Back Ribs,21.8,6th generation,38
Tea - Jasmin Green,35.8,Business-focused,29
Sproutsmustard Cress,42.1,Multi-lateral,12
Mace,23.1,real-time,17
Compound - Pear,26.8,customer loyalty,31
Napkin White,39.5,matrices,22
Ice Cream - Super Sandwich,5.6,middleware,17
Tofu - Firm,41.6,exuding,7
Tomatoes - Grape,48.4,database,19
Breakfast Quesadillas,46.7,bandwidth-monitored,44
Crackers - Soda / Saltins,1.8,leading edge,15
Flavouring - Rum,99.6,Phased,24
"Chicken - Base, Ultimate",8.0,Centralized,39
Wine - Sicilia Igt Nero Avola,28.3,system-worthy,34
Nectarines,61.9,hardware,42
"Lemonade - Kiwi, 591 Ml",91.4,access,34
Spice - Chili Powder Mexican,96.3,utilisation,2
"Juice - Clamato, 341 Ml",1.6,Distributed,14
Horseradish - Prepared,20.1,software,38
Muffins - Assorted,87.1,Public-key,50
Cookie Dough - Peanut Butter,76.8,systematic,24
Chutney Sauce,34.3,Optimized,50
Milk - Chocolate 250 Ml,57.3,support,6
Appetizer - Sausage Rolls,72.3,De-engineered,8
Pizza Pizza Dough,91.2,demand-driven,36
"Yogurt - Banana, 175 Gr",57.3,Cloned,10
Loquat,70.9,Graphic Interface,36
Wine - Placido Pinot Grigo,22.1,Multi-layered,15
"Pasta - Penne, Lisce, Dry",13.6,methodology,15
Chicken Giblets,9.6,Secured,2
Buttons,4.3,array,36
"Crab - Claws, 26 - 30",70.2,client-server,16
Rabbit - Frozen,49.2,Seamless,11
Carbonated Water - White Grape,9.6,user-facing,47
Longos - Greek Salad,51.1,process improvement,39
Veal - Eye Of Round,46.7,well-modulated,33
Foil - 4oz Custard Cup,67.9,Versatile,27
Sesame Seed Black,22.6,Diverse,28
Bread - Multigrain,64.6,Focused,18
Carbonated Water - Cherry,57.5,hardware,27
"Cheese - Havarti, Salsa",15.3,Implemented,9
"Shrimp - Baby, Warm Water",18.9,access,10
Garlic - Peeled,31.1,Reactive,20
Carrots - Jumbo,82.2,dedicated,11
Flower - Commercial Spider,13.5,algorithm,12
"Pineapple - Canned, Rings",41.5,concept,13
Hagen Daza - Dk Choocolate,10.2,emulation,25
Peppercorns - Pink,94.6,Graphical User Interface,14
Wine - Pinot Noir Mondavi Coastal,46.5,hardware,31
"Cheese - Brie, Cups 125g",48.4,Optimized,46
Flour - Semolina,47.1,upward-trending,27
Nut - Pumpkin Seeds,4.0,system-worthy,35
Ecolab - Hobart Washarm End Cap,17.9,Operative,11
Wine - Puligny Montrachet A.,60.1,productivity,46
Cheese - Provolone,99.5,analyzing,9
"Pork - Loin, Boneless",29.4,extranet,31
Lid - 3oz Med Rec,7.4,functionalities,29
Wine - Winzer Krems Gruner,29.8,benchmark,16
Paper - Brown Paper Mini Cups,58.1,4th generation,45
Table Cloth 144x90 White,51.7,Managed,15
"Cheese - Boursin, Garlic / Herbs",19.9,Open-architected,40
Pineapple - Regular,72.7,Monitored,6
Pastry - Chocolate Chip Muffin,1.1,Digitized,34
Chicken - Base,30.6,forecast,6
Spinach - Baby,33.0,Seamless,8
Longos - Cheese Tortellini,56.6,content-based,16
Lamb - Shoulder,83.3,encoding,43
Pickerel - Fillets,78.7,interactive,9
Pie Shells 10,56.8,frame,6
Eggplant - Regular,87.3,Optional,30
Energy - Boo - Koo,72.1,database,20
Beer - Camerons Cream Ale,94.4,matrices,23
Cheese - Victor Et Berthold,24.5,Adaptive,19
Juice - Apple Cider,9.3,structure,39
Bread Crumbs - Japanese Style,2.8,Reduced,26
Yoplait Drink,36.0,Diverse,32
Truffle Cups - Red,75.1,success,42
"Chicken - Thigh, Bone In",73.7,client-server,38
Cup - Translucent 7 Oz Clear,11.8,Switchable,25
Chicken Thigh - Bone Out,59.9,groupware,20
Hand Towel,36.6,customer loyalty,33
Cheese - Oka,26.7,focus group,47
Snapple Lemon Tea,62.9,local,35
Syrup - Monin - Blue Curacao,71.4,human-resource,33
Bowl 12 Oz - Showcase 92012,35.5,solution,4
Cookie Double Choco,15.7,neural-net,21
Banana,34.0,Centralized,29
Tea - Earl Grey,19.3,support,27
"Jam - Raspberry,jar",3.0,hardware,35
Clams - Bay,35.6,Profit-focused,39
Soup - Campbells Broccoli,83.5,challenge,35
"Chicken - Breast, 5 - 7 Oz",17.9,Polarised,3
Island Oasis - Strawberry,41.5,frame,11
"Tart Shells - Savory, 2",61.1,firmware,50
Spinach - Packaged,49.8,foreground,20
Zucchini - Yellow,42.0,internet solution,47
Beets - Mini Golden,57.8,software,25
"Wine - White, Ej",97.8,middleware,18
Bread - Calabrese Baguette,9.6,task-force,41
Wine - Jackson Triggs Okonagan,86.1,implementation,1
Bacardi Breezer - Strawberry,80.4,non-volatile,35
Wine - Redchard Merritt,27.6,utilisation,10
Salt - Kosher,12.9,instruction set,30
Sauce - Alfredo,14.1,analyzing,40
Truffle Cups - White Paper,48.6,Exclusive,24
Chicken - Leg / Back Attach,52.0,systemic,17
Eggplant Italian,97.1,Ameliorated,45
Wine - Chianti Classico Riserva,16.7,Intuitive,32
Cornish Hen,80.1,customer loyalty,13
Lotus Root,99.6,pricing structure,30
Pants Custom Dry Clean,95.2,open system,34
"Gin - Gilbeys London, Dry",90.1,full-range,20
Brandy Cherry - Mcguinness,93.3,Self-enabling,17
Contreau,88.1,Total,7
Beans - Green,20.3,Sharable,48
Scallops - Live In Shell,66.1,benchmark,27
Beef - Prime Rib Aaa,87.4,zero defect,9
Truffle - Whole Black Peeled,90.0,methodology,30
Carbonated Water - Blackcherry,52.7,functionalities,33
Icecream - Dstk Cml And Fdg,8.3,responsive,34
Beets - Pickled,72.0,even-keeled,16
Bagel - Everything,90.7,Exclusive,31
Pepper - Chili Powder,32.4,directional,47
Dried Peach,46.9,approach,39
Spinach - Spinach Leaf,70.4,core,3
"Lentils - Green, Dry",84.5,projection,5
Steel Wool S.o.s,89.7,encryption,36
Bread - 10 Grain Parisian,40.0,concept,12
Mousse - Banana Chocolate,31.6,radical,17
Pancetta,10.5,leading edge,24
Soup V8 Roasted Red Pepper,1.6,bi-directional,6
Marzipan 50/50,42.6,complexity,12
Peppercorns - Green,91.8,collaboration,16
Wine La Vielle Ferme Cote Du,48.3,projection,5
Cake - Cheese Cake 9 Inch,97.8,moderator,9
Island Oasis - Cappucino Mix,42.9,24 hour,42
Spinach - Baby,49.4,6th generation,26
"Juice - Grapefruit, 341 Ml",35.2,Extended,45
Muffin Orange Individual,17.6,protocol,29
Pepper - Chili Powder,89.4,Assimilated,45
Skewers - Bamboo,58.0,complexity,4
Anchovy In Oil,95.0,user-facing,27
Crab - Meat,61.9,optimal,38
Bamboo Shoots - Sliced,4.3,instruction set,41
Plate Pie Foil,18.0,homogeneous,43
Sultanas,58.4,alliance,48
Ice Cream - Strawberry,62.3,responsive,46
Trueblue - Blueberry Cranberry,88.9,algorithm,15
Wine - Magnotta - Cab Franc,81.3,website,1
"Nut - Pistachio, Shelled",55.0,utilisation,8
Cassis,2.7,Open-architected,38
Glucose,71.9,Business-focused,10
Wine - Masi Valpolocell,42.6,non-volatile,25
Sea Bass - Fillets,6.4,web-enabled,6
Cookie Double Choco,33.6,Future-proofed,30
Container - Foam Dixie 12 Oz,98.6,Horizontal,10
Cream - 35%,50.1,secured line,8
Maple Syrup,82.9,foreground,1
Chocolate - Feathers,94.1,workforce,3
Cheese - Roquefort Pappillon,35.1,complexity,6
Versatainer Nc - 8288,70.3,directional,21
Squid - Tubes / Tenticles 10/20,57.7,firmware,45
Buffalo - Short Rib Fresh,49.6,empowering,4
Pastry - Mini French Pastries,43.3,open architecture,25
Truffle Cups Green,18.0,functionalities,29
Cream - 35%,29.3,complexity,7
"Sparkling Wine - Rose, Freixenet",88.9,extranet,4
Appetizer - Lobster Phyllo Roll,58.1,Polarised,9
"Tray - Foam, Square 4 - S",53.1,Synchronised,26
Beets - Mini Golden,55.4,infrastructure,1
Cake - Sheet Strawberry,31.2,projection,39
Bread Country Roll,18.0,Secured,33
"Star Anise, Whole",83.1,secured line,4
Wine - Baron De Rothschild,5.9,Down-sized,35
Wine - Trimbach Pinot Blanc,80.9,Realigned,20
Apple - Granny Smith,23.3,Re-contextualized,50
Blue Curacao - Marie Brizard,2.9,internet solution,37
Lettuce - Treviso,19.6,Networked,31
Tomatillo,27.9,Quality-focused,14
Flour - So Mix Cake White,9.7,real-time,5
Cheese - Cottage Cheese,57.1,array,33
Dried Figs,86.1,Exclusive,18
Container Clear 8 Oz,93.2,matrices,10
Eggwhite Frozen,98.0,Assimilated,17
Bag Stand,45.4,paradigm,48
Bread - Dark Rye,30.9,application,44
"Coconut - Creamed, Pure",12.1,multi-tasking,32
Wine - Dubouef Macon - Villages,90.3,solution,45
"Nut - Pistachio, Shelled",42.7,framework,12
"Bread - Roll, Whole Wheat",79.9,secured line,9
"Bread - Dark Rye, Loaf",70.2,next generation,43
"Gingerale - Schweppes, 355 Ml",95.7,Cloned,42
Juice - Apple Cider,10.6,artificial intelligence,40
Dip - Tapenade,89.3,Reactive,36
Water - Evian 355 Ml,15.6,frame,22
"Beef - Rib Roast, Cap On",11.4,Visionary,20
"Tuna - Canned, Flaked, Light",84.4,intangible,49
Chocolate Bar - Smarties,9.2,ability,48
Chocolate - Mi - Amere Semi,15.2,disintermediate,25
The Pop Shoppe - Cream Soda,64.2,Diverse,40
"Lamb - Whole Head Off,nz",59.7,Extended,1
Beer - Blue,33.2,optimizing,9
"Lamb - Pieces, Diced",23.6,implementation,37
Sour Puss - Tangerine,69.1,Open-architected,3
"Trout - Rainbow, Frozen",2.8,didactic,38
Puree - Kiwi,28.0,3rd generation,21
Soup - Campbells Broccoli,1.3,migration,3
Quinoa,66.7,solution,37
Table Cloth 144x90 White,79.7,Configurable,2
Salad Dressing,74.4,project,21
Chicken - Ground,79.4,bandwidth-monitored,12
Squash - Butternut,35.1,intangible,13
Sorrel - Fresh,60.9,Intuitive,32
"Pasta - Rotini, Colour, Dry",46.6,Sharable,38
Ecolab Crystal Fusion,69.3,budgetary management,12
Pate Pans Yellow,54.6,24/7,15
Wine - Marlbourough Sauv Blanc,70.4,intermediate,22
Spinach - Spinach Leaf,37.6,Profound,36
Nantucket - 518ml,95.4,Multi-tiered,47
Sole - Iqf,11.5,eco-centric,41
Salt And Pepper Mix - Black,22.2,multi-state,20
Wine - Rhine Riesling Wolf Blass,14.1,homogeneous,45
Apple - Royal Gala,27.6,leverage,38
Cake Sheet Combo Party Pack,89.7,Total,34
"Fish - Soup Base, Bouillon",87.3,focus group,20
Rhubarb,87.0,support,49
"Gingerale - Schweppes, 355 Ml",90.6,reciprocal,49
Sugar - Fine,79.6,transitional,1
Cheese Cloth,75.3,contingency,33
Mix Pina Colada,85.4,De-engineered,34
Snails - Large Canned,39.7,contingency,4
Macaroons - Two Bite Choc,99.4,superstructure,32
"Chicken - Wings, Tip Off",23.5,asynchronous,26
Apple - Macintosh,63.1,even-keeled,11
Swiss Chard,73.7,Right-sized,37
Beans - Soya Bean,11.1,Fully-configurable,26
Barramundi,30.6,software,36
Longos - Grilled Salmon With Bbq,43.3,Reverse-engineered,3
Tray - 12in Rnd Blk,24.4,Versatile,37
"Mushroom - Trumpet, Dry",75.9,Decentralized,50
Lotus Leaves,90.8,complexity,50
Rosemary - Fresh,15.6,client-server,35
"Seedlings - Buckwheat, Organic",14.9,Advanced,13
Pears - Fiorelle,68.6,next generation,42
"Bread - Roll, Italian",44.1,cohesive,5
Napkin - Beverage 1 Ply,96.5,function,33
Skirt - 29 Foot,74.8,Fundamental,29
Shiro Miso,85.0,Switchable,17
Veal - Bones,86.9,alliance,45
Cloves - Whole,70.9,encompassing,43
Bananas,89.8,system-worthy,15
Ezy Change Mophandle,43.2,multimedia,14
"C - Plus, Orange",72.6,Implemented,46
Lighter - Bbq,26.0,empowering,23
Raisin - Golden,97.1,contingency,35
Apricots - Halves,59.9,demand-driven,21
"Veal - Inside, Choice",82.1,zero administration,26
Onions - Red,43.5,paradigm,4
Muffin Batt - Blueberry Passion,85.7,infrastructure,22
Spice - Onion Powder Granulated,32.7,encryption,7
Spinach - Packaged,50.3,reciprocal,40
Potatoes - Idaho 100 Count,27.7,access,26
Ginger - Pickled,74.6,Open-source,2
Hummus - Spread,35.4,even-keeled,31
Mountain Dew,59.4,Exclusive,8
"Sauce - Soya, Light",57.4,motivating,41
Cheese - Mix,39.8,disintermediate,12
Garlic - Elephant,56.6,Customizable,23
"Wine - Bourgogne 2002, La",73.4,Object-based,19
Cheese - Valancey,48.0,incremental,22
Tray - 12in Rnd Blk,47.0,Multi-layered,45
Cassis,86.3,next generation,12
"Basil - Dry, Rubbed",90.3,open system,2
Scallop - St. Jaques,47.2,foreground,12
Wine - Magnotta - Belpaese,90.8,Synergistic,32
Turnip - White,97.1,time-frame,30
"Trout - Rainbow, Frozen",3.1,Realigned,28
Horseradish - Prepared,71.0,Triple-buffered,23
Daves Island Stinger,9.1,optimal,24
"Pasta - Tortellini, Fresh",88.3,Total,28
Cheese - Le Cru Du Clocher,75.2,object-oriented,8
"Pork - Loin, Boneless",21.3,Multi-channelled,12
"Salmon - Whole, 4 - 6 Pounds",86.7,task-force,14
Bread - Focaccia Quarter,24.9,24/7,44
Jam - Raspberry,7.9,moderator,9
Chicken Thigh - Bone Out,61.1,non-volatile,26
V8 Pet,22.6,initiative,28
Lychee,32.2,Customer-focused,32
Oil - Grapeseed Oil,9.0,Function-based,28
Sesame Seed Black,55.7,Profit-focused,41
Scallops - Live In Shell,63.3,Progressive,44
"Cake Circle, Foil, Scallop",2.8,functionalities,2
Pastry - Mini French Pastries,93.3,open architecture,9
Wine - Riesling Dr. Pauly,53.1,fresh-thinking,38
Wine - Jackson Triggs Okonagan,3.5,hub,20
Snapple - Iced Tea Peach,27.8,transitional,26
Wine - Beringer Founders Estate,68.9,synergy,3
Okra,71.9,archive,28
Broom And Brush Rack Black,79.9,cohesive,31
Onions - Cooking,80.0,multimedia,19
Orange - Tangerine,11.7,Ameliorated,5
Bread - Italian Sesame Poly,78.1,Exclusive,9
Dragon Fruit,84.1,bifurcated,24
Wine - Pinot Noir Mondavi Coastal,21.0,asymmetric,18
Pepper - Red Thai,93.9,algorithm,36
Magnotta - Bel Paese White,47.7,Synchronised,47
"Extract - Vanilla,artificial",90.1,focus group,5
"Wine - Red, Gallo, Merlot",63.8,Ergonomic,14
Beans - Wax,83.3,optimal,27
Beef Wellington,96.2,internet solution,50
Caviar - Salmon,89.0,content-based,2
Canadian Emmenthal,38.0,Seamless,21
Trueblue - Blueberry Cranberry,30.3,database,11
"Turkey - Breast, Bone - In",89.5,core,43
Wine - Chablis 2003 Champs,5.7,object-oriented,31
Oven Mitts 17 Inch,1.0,support,29
Pecan Raisin - Tarts,12.4,firmware,34
Cheese - Goat,19.0,attitude-oriented,43
Cotton Wet Mop 16 Oz,1.4,bottom-line,44
Chicken - Whole Fryers,38.1,asynchronous,7
Container Clear 8 Oz,64.2,Inverse,10
V8 Splash Strawberry Banana,69.2,leverage,35
Syrup - Kahlua Chocolate,19.7,Decentralized,25
Shrimp - 150 - 250,85.1,User-friendly,44
Baking Soda,96.3,reciprocal,34
Muffins - Assorted,48.4,Progressive,14
Wine - Chardonnay South,32.3,core,26
Leeks - Large,30.4,Stand-alone,21
"Fish - Scallops, Cold Smoked",21.6,ability,4
"Pasta - Rotini, Dry",36.1,contextually-based,31
Appetiser - Bought,8.7,explicit,6
"Extract - Vanilla,artificial",88.6,needs-based,40
"Soup - Campbells, Minestrone",92.4,Optimized,33
Corn Meal,60.6,Integrated,24
Nantucket Apple Juice,68.7,Graphic Interface,41
Tahini Paste,17.2,User-friendly,26
Ginger - Crystalized,20.6,De-engineered,15
"Bread - Roll, Calabrese",56.8,foreground,38
Chinese Foods - Plain Fried Rice,19.4,Configurable,24
Wooden Mop Handle,83.2,Seamless,19
"Lamb - Whole, Frozen",39.5,structure,23
Nantuket Peach Orange,62.7,demand-driven,50
"Soup - Beef Conomme, Dry",41.7,6th generation,50
"Beans - Black Bean, Canned",84.8,Enhanced,15
Turkey - Oven Roast Breast,42.8,3rd generation,42
Wine - Jackson Triggs Okonagan,85.3,Customer-focused,25
Plasticknivesblack,5.1,concept,32
Cheese - Bakers Cream Cheese,22.7,dynamic,37
"Ecolab - Orange Frc, Cleaner",49.0,mission-critical,5
Bread - Rye,61.2,24/7,4
Wonton Wrappers,10.0,Down-sized,48
Lemon Pepper,66.1,Assimilated,33
"Lamb - Racks, Frenched",29.7,Multi-layered,19
Clams - Bay,72.2,transitional,9
Calypso - Black Cherry Lemonade,67.5,background,27
Kolrabi,80.6,Switchable,30
Campari,25.8,optimal,22
"Pork - Bacon, Sliced",82.7,client-server,1
Salt And Pepper Mix - Black,80.1,attitude-oriented,6
"Chilli Paste, Sambal Oelek",36.2,capacity,49
"Carrots - Mini, Stem On",92.5,protocol,47
"Rum - Coconut, Malibu",56.3,Function-based,40
Pastrami,68.9,Realigned,49
Pizza Pizza Dough,99.8,secondary,47
Sugar - Palm,2.1,Enterprise-wide,23
Muffin - Banana Nut Individual,31.0,Ergonomic,13
Lotus Rootlets - Canned,66.3,data-warehouse,48
"Bread - Sticks, Thin, Plain",70.5,Universal,36
Bread - Burger,10.4,structure,26
Bread Foccacia Whole,2.8,firmware,12
Sugar Thermometer,93.1,systemic,50
Creme De Menthe Green,5.7,impactful,1
Bacardi Mojito,97.7,access,37
"Jam - Marmalade, Orange",99.3,product,20
Bread - Olive Dinner Roll,39.6,throughput,46
Sauce - Hoisin,70.5,Upgradable,3
"Pasta - Rotini, Dry",54.9,protocol,6
Chocolate Bar - Coffee Crisp,52.6,grid-enabled,43
Cheese - Pied De Vents,74.6,strategy,2
Mangoes,80.8,Down-sized,1
Muffin Mix - Morning Glory,45.2,Face to face,45
Muffin - Mix - Mango Sour Cherry,58.0,optimal,10
Celery Root,46.7,customer loyalty,10
Soup - Campbells Tomato Ravioli,99.7,Stand-alone,9
Dasheen,98.2,asymmetric,44
Yoplait - Strawbrasp Peac,19.8,support,44
Onion - Dried,8.8,Optimized,2
Table Cloth 53x53 White,92.0,pricing structure,27
Beer - Upper Canada Light,47.1,static,28
Towel Dispenser,54.7,approach,35
Lamb Shoulder Boneless Nz,28.3,Down-sized,45
Bread - Rye,55.6,Customizable,41
"Sugar - Sweet N Low, Individual",35.6,uniform,6
Lid - 3oz Med Rec,54.7,Vision-oriented,22
Soy Protein,27.1,actuating,50
Pepper - Roasted Red,4.6,database,45
Cod - Black Whole Fillet,65.3,definition,19
Dried Apple,6.9,secondary,47
Table Cloth 54x54 White,78.9,object-oriented,44
Cheese - Perron Cheddar,17.2,implementation,41
Myers Planters Punch,5.8,approach,35
Cape Capensis - Fillet,85.9,Grass-roots,9
Pastry - Key Limepoppy Seed Tea,35.2,internet solution,12
Pepsi - 600ml,68.4,Business-focused,11
"Apple - Delicious, Golden",8.9,methodical,1
"Crab - Claws, Snow 16 - 24",27.9,Total,2
"Wine - Red, Wolf Blass, Yellow",79.9,optimal,21
Pastry - Raisin Muffin - Mini,66.4,Graphic Interface,34
Stainless Steel Cleaner Vision,88.3,Managed,33
Saskatoon Berries - Frozen,4.3,Adaptive,19
Soup - Campbells Beef Stew,44.1,well-modulated,19
Lettuce - Boston Bib - Organic,52.5,composite,24
Berry Brulee,91.3,transitional,30
Yeast Dry - Fermipan,20.9,intermediate,26
Lamb - Whole Head Off,21.5,help-desk,37
